Random Seed:  42
train: 0.7112163002889527 0.5094328071714497
val: 0.7100482604333332 0.5027232058346272
train: 0.7992197888687559 0.6368583688987665
val: 0.7896653509565762 0.6184560001960823
train: 0.8210646774062663 0.6779089459925453
val: 0.8106434600693839 0.6584119253924915
train: 0.8278204459598687 0.6901411146712093
val: 0.8180369479315621 0.6703982097761971
train: 0.8298468787299573 0.6941175544716396
val: 0.8196013995579311 0.6740275147770133
train: 0.8233356073804615 0.6874350269169401
val: 0.8130217130695071 0.6665244443075997
train: 0.8184103446622049 0.6825808735886627
val: 0.8090942682964462 0.6626697219908237
train: 0.8104249504654288 0.6723393880901448
val: 0.800837690276759 0.6516376616699355
train: 0.8103642334336759 0.67143386567443
val: 0.8020805514284542 0.6530446750777108
train: 0.7967951589665455 0.6553540666781562
val: 0.7878722037587848 0.6359428460044521
train: 0.7961802538538958 0.653907334524865
val: 0.7875767137323108 0.6354744402425629
train: 0.7984984845709591 0.6560727062463061
val: 0.7898836955428123 0.6376210004091263
train: 0.7984958004392138 0.6566428730040351
val: 0.7888698375650814 0.6363645642995834
train: 0.7995810585637246 0.6577332383376762
val: 0.7900406441518238 0.6385459697672299
train: 0.79726234943636 0.6544866300573098
val: 0.7864540432180677 0.6327563981924739
train: 0.8020563219998939 0.6598683577304012
val: 0.7918907105922699 0.6394473889044353
train: 0.7938563418178615 0.651481953534213
val: 0.7834841513207981 0.6303782824959073
train: 0.8026982554592346 0.6611148817273529
val: 0.7920541369489261 0.6398868315986225
train: 0.7988766076977302 0.6546748063781045
val: 0.7891124625291143 0.6348948893802506
train: 0.8060185077253325 0.6643053927729207
val: 0.7959798233849662 0.644023386495454
train: 0.7953425058521484 0.650984058544433
val: 0.7861793828862054 0.6320987216063908
train: 0.7947053152445125 0.6488120790101216
val: 0.7858265531914574 0.6305423410875457
train: 0.7943620849564628 0.6488651846510923
val: 0.7840149328112602 0.6278762226658208
train: 0.7885008185140548 0.6422442954656316
val: 0.7793324238487652 0.6227667395557676
train: 0.7927366974067128 0.6467341186364026
val: 0.7834032497235707 0.6269878026630197
train: 0.7941698500138225 0.6493976374875066
val: 0.784304851932185 0.6297399518745286
train: 0.780953282659704 0.6327726171513107
val: 0.7724479851978165 0.6130254215427807
train: 0.7773269213889001 0.6314674587892997
val: 0.769148879817554 0.6119873992034367
train: 0.7557475628041802 0.6052681267086711
val: 0.749853470495769 0.5885454857988017
train: 0.7689201504953446 0.6217018672622894
val: 0.7617975952369826 0.6032076861177172
train: 0.7711939231391527 0.6228938343063477
val: 0.7649238907865116 0.6055660428745406
train: 0.7870434239463023 0.6430142134690214
val: 0.7796742958681924 0.6248263072754655
train: 0.7872475200384593 0.6425266973783543
val: 0.7809777717505183 0.6256424060889653
train: 0.7926389816219855 0.6495309660861219
val: 0.784563347697258 0.6303083178188119
train: 0.7905056434642534 0.6455583306701302
val: 0.7836203851870128 0.627747654914856
train: 0.7858091064911784 0.6425486141460732
val: 0.7801092884370259 0.6262951301676887
train: 0.8072677889177876 0.6661665009613261
val: 0.8000984266400337 0.6480756274291447
train: 0.7666229588195376 0.6186065837260215
val: 0.7607306891254016 0.6018369921616146
train: 0.781984008826818 0.6377616587622075
val: 0.775404192507267 0.6200101258499282
train: 0.7865413901043777 0.6428731292748381
val: 0.7802389285394123 0.6259670316108635
train: 0.8004470937762442 0.659442926781618
val: 0.7936099906052861 0.641963317990303
train: 0.810846767817075 0.6713822999657774
val: 0.8037636833531516 0.6537494670067515
train: 0.8117631598651583 0.6737371784501062
val: 0.8040466415030616 0.6549829170107841
train: 0.8124959900581942 0.6736686997050064
val: 0.8052230764712606 0.6557962564485413
train: 0.8160248612029112 0.6801856057909577
val: 0.8086383811065129 0.6617998800107411
train: 0.8104535993243243 0.6733399677661157
val: 0.8017193685684886 0.6531124168208667
train: 0.8199078517575418 0.6831621711205178
val: 0.8106358274817467 0.662841083748
train: 0.819036137498369 0.6831358669440417
val: 0.8108937793544361 0.6635348583970752
train: 0.816108328855632 0.6782489889178458
val: 0.8084207017506871 0.6591340761099543
train: 0.8043298770255707 0.6674277008104185
val: 0.7983110259686198 0.6501248936567988
train: 0.8237225899248878 0.6913803181340618
val: 0.8155552776796477 0.6727581982101712
train: 0.8038046145019643 0.6684318915490182
val: 0.7968337727444512 0.6504655767764363
train: 0.8245548876849088 0.6900024950679097
val: 0.8155299627355167 0.670062427009855
train: 0.822673308010325 0.6885540588510352
val: 0.8137516528367996 0.6681785764438766
train: 0.8072033125983655 0.6693363939562151
val: 0.8005722356694085 0.651684473667826
train: 0.8026882930934603 0.6680092039870377
val: 0.7962045275739261 0.6514041732464518
train: 0.8323694067267029 0.7026852433982134
val: 0.8222653280411448 0.6804520051394191
train: 0.8120438440803908 0.6782518992326126
val: 0.8034950824720519 0.6575393389378276
train: 0.805200934584889 0.6714678100826453
val: 0.7977003146495137 0.6525691896677017
train: 0.8003786627498191 0.6636693124547383
val: 0.7944541882191386 0.6461674453956741
train: 0.8099530375947701 0.6776471637910412
val: 0.8031641117164067 0.6600007021001407
train: 0.8249194691957267 0.693446562611812
val: 0.8168043153626579 0.6738451697996685
train: 0.8107336668674547 0.6784472056497927
val: 0.8049123925822121 0.6624009630509785
train: 0.8112397162445829 0.6767450802661806
val: 0.803841310952391 0.6575270497373172
train: 0.8059356651348103 0.6705027208649867
val: 0.7998102615986552 0.6527159522686686
train: 0.8162448694629054 0.6849578103361941
val: 0.8096394677247319 0.6657211280294827
train: 0.8052255575957536 0.6719680923171057
val: 0.7985725477337837 0.6528925395437649
train: 0.8145196469298556 0.683493211646933
val: 0.8085681434188571 0.6651362904480526
train: 0.7885075819806969 0.6529942891639698
val: 0.7836046421102115 0.6364062747785023
train: 0.799181723524748 0.6664944305098301
val: 0.7936419003776142 0.6484358640653747
train: 0.7867793173384456 0.6525208693969984
val: 0.782152096075671 0.6350126750767231
train: 0.8045830149804393 0.6752530081181233
val: 0.7995635143348149 0.6572791050587382
train: 0.7818321564679971 0.6500858793859957
val: 0.7775631908859525 0.63293954623597
train: 0.8269040451721013 0.6962405958832883
val: 0.8194249559726033 0.6751227229833603
train: 0.7919333563172573 0.6584959096572965
val: 0.7875781591449466 0.6417780172611985
train: 0.7623753960181541 0.6288584263618391
val: 0.7577413011874471 0.6112265954060214
train: 0.7638256631988235 0.6313115461480933
val: 0.7594566377145904 0.6140536910721234
train: 0.7602995541438329 0.6267371678457232
val: 0.7555408243622098 0.6088551735239369
train: 0.7875761454406023 0.6582427813160804
val: 0.7827569916844368 0.6402008576052529
train: 0.7657616738000573 0.6346897726709192
val: 0.7622337405170713 0.6184736804238388
train: 0.732270507868434 0.5970819165979313
val: 0.7341364366667611 0.5829533178891454
train: 0.7707597954182331 0.6409979864649059
val: 0.7688593843153545 0.6257929573101657
train: 0.7525307086905426 0.619859933503562
val: 0.7531226671167782 0.6057878924267632
train: 0.7297457715283391 0.5932754226618848
val: 0.7336876967123577 0.5807227678596973
train: 0.7503492718567946 0.6174458084393107
val: 0.7518630304506847 0.6040980810565608
train: 0.779886769059816 0.6508471494720828
val: 0.778857100222792 0.6358041145971843
train: 0.7676690879804997 0.6360103426790656
val: 0.7695172684533256 0.6217105920825686
train: 0.7442946516174026 0.6082207926732005
val: 0.7477348042385918 0.593417509325913
train: 0.734377294167046 0.5931802659440251
val: 0.7386291825345584 0.579263369419745
train: 0.7470357335907273 0.60749476125513
val: 0.75003439613751 0.5925337358244828
train: 0.7386826201617892 0.5947501677746647
val: 0.7414510271378926 0.5798283240624836
train: 0.7348526969683136 0.5907220102824773
val: 0.7351332870977265 0.5753475597926548
train: 0.72880326722724 0.5781003249006188
val: 0.7312221920916012 0.5647557824850082
train: 0.736549082389675 0.5895280834516822
val: 0.7382423877716064 0.5752143380897385
train: 0.7482193374563871 0.5973104699965446
val: 0.7498185325946126 0.5820586457848549
train: 0.7376567665432905 0.5809308311456809
val: 0.7375213439975467 0.5665226621287209
train: 0.737832593078837 0.5819634802180651
val: 0.7376055100134441 0.5667286914374147
train: 0.7299601397206706 0.5630391285566291
val: 0.7296142099159104 0.5460333611283984
train: 0.7392436996583016 0.5836192920935119
val: 0.7368513505373683 0.5676346298839364
train: 0.7443790344898302 0.5841727768046415
val: 0.7426644031490598 0.5694301107100078
